          identity_address          |                             friendly_name                              | stake_count |      first_stake       |       last_stake       
 iKhZt2ZwFYfyc8NU1fUwhzVbTby8Dsv9j4 | unknown.VRSC@                                                          |           2 | 2023-01-20 21:21:18+00 | 2024-09-05 17:22:13+01
 iKjsxydidLEFWEGnZPaynEV71mLMSMzezy | Grimoire.VRSC@                                                         |          41 | 2023-10-20 11:24:53+01 | 2025-09-24 20:30:59+01
 iKLLsMky8MnPEnHtv9o5mi44aPDUA8PvwH | unknown.VRSC@                                                          |         107 | 2020-12-26 17:50:26+00 | 2021-03-23 19:55:48+00
 iKtk6J1m5U2gccYEekwX9nha9CNTfpYa56 | unknown.VRSC@                                                          |          22 | 2020-08-19 09:21:05+01 | 2025-06-27 01:08:31+01
 iKyJqBdVke1yz3H2ykYwtZYo4GDBFPH92H | D2.RaceCondition.VRSC@                                                 |         663 | 2023-08-03 18:17:56+01 | 2025-10-26 17:06:38+00
 iKyN9McEHSsx1hNWNcL44QKxpdEdtqLMJr | Air.VRSC@                                                              |         434 | 2020-07-14 19:25:36+01 | 2025-10-23 23:23:22+01
 iL9m1AUiUZpr2EUb4GxMvm2Q97gYNFLNqY | unknown.VRSC@                                                          |         338 | 2023-08-02 23:22:36+01 | 2024-07-21 20:07:43+01
 iLAZzpXuQpapbysYzLNUDLbpLuGr6NwhbH | whisper.VRSC@                                                          |        1481 | 2023-10-09 14:54:10+01 | 2025-10-26 01:27:17+00
 iLBg85aRa2hGsDYbKPT8VZWSSphoBCxGCe | unknown.VRSC@                                                          |        1294 | 2022-04-12 15:48:35+01 | 2025-02-07 05:41:47+00
 iLcRCbdYsVwXwWTgvrWmhA3weVMKFvu8H6 | 5d717fa07e2c7875.VRSC@                                                 |          16 | 2023-01-03 11:08:15+00 | 2024-07-17 11:45:53+01
 iLd9CoMHAbwMcjcaQ7u85CCtCicjVZ232E | unknown.VRSC@                                                          |           4 | 2021-12-28 06:39:40+00 | 2024-01-21 18:05:50+00
 iLd9V9shAqzodkt7GNB8NGn6CyYy5fib1p | unknown.VRSC@                                                          |         155 | 2022-10-18 13:10:54+01 | 2024-12-17 03:28:20+00
 iLdSRgdMfmpQBuK3jUqvUkpjMf9qCFht2G | elsafneto.VRSC@                                                        |          10 | 2023-11-27 08:08:13+00 | 2025-10-15 04:50:32+01
